Didymellaceae_unclassified,Talaromyces,Ascomycota_unclassified,Aspergillus,Armillaria,Debaryomyces,Sporidiobolus,Trichosporon,Alternaria,Resinicium,Alutaceodontia,Phlebia,Strobilurus,Trametes,Filobasidiaceae_unclassified,Stereum,Ceratobasidiaceae_unclassified,Golovinomyces,Sclerotiniaceae_unclassified,Coprinellus,Rhodotorula,Athelia,Pseudopithomyces,Wallemia,Phaeosphaeriaceae_unclassified,Capnodiales_unclassified,Lecanoromycetes_unclassified,Sporobolomyces,Pleosporales_unclassified,Bondarzewiaceae_unclassified,Ceramothyrium,Pholiota,Penicillium,Naganishia,Baeospora,Sistotrema,Chaetothyriales_unclassified,Candida,Erythrobasidium,Bipolaris,Pleurotus,Itersonilia,Vuilleminia,Cladosporium,Helotiales_unclassified,Didymella,Teratosphaeriaceae_unclassified,Coniothyrium,Neoascochyta,Taphrina,Polyporaceae_unclassified,Ganoderma,Aureobasidiaceae_unclassified,Toxicocladosporium,Vishniacozyma,Curvularia,Fomitopsis,Peniophora,Cryptococcus,Cyberlindnera,Leotiomycetes_unclassified,Sordariomycetes_unclassified,Saitozyma,Phlebiopsis,Typhula,Sistotremastrum,Hypocreales_unclassified,Symmetrospora,Auriculariales_unclassified,Trichoderma,Stachybotryaceae_unclassified,Cylindrobasidium,Malassezia,subject_id
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2813522355507088,0,0,0.0054525627044711015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7131952017448201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.986042905143448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023261824760920135,0,0,0,0,0,0,0,0.002067717756526234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001033858878263117,0,0,0.001033858878263117,0,0,0,0,0,0,0,0,0,0,0.007495476867407599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0.005495603517186251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9945043964828137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0.14296081277213352,0.019593613933236574,0,0,0,0,0.6168359941944848,0,0,0,0,0,0,0.002902757619738752,0.005805515239477504,0,0,0,0,0,0.007982583454281567,0,0,0.08925979680696662,0,0,0,0,0.006531204644412192,0,0.01088534107402032,0.011611030478955007,0,0,0,0,0,0,0,0,0,0,0.011611030478955007,0,0,0,0.03265602322206096,0,0,0,0,0,0,0,0.0021770682148040637,0,0.03918722786647315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0.12639786601005437,0,0.057761362470503744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720734585000513,0,0,0,0.0012311480455524776,0,0,0,0,0,0.0014363393864778907,0,0.0011285523750897712,0,9.233610341643582e-4,0,0,0,0,0,0,0.08587257617728532,0,0.0021545090797168358,0,0,0.001333743716015184,0,0,0.0010259567046270648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0.08461538461538462,0,0,0,0,0,0.029487179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35128205128205126,0,0.04358974358974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46923076923076923,0,0.021794871794871794,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0.04666666666666667,0.18666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1896969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2193939393939394,0,0,0,0,0,0,0,0,0,0,0.3575757575757576,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9525249470819473,0,0,0,0,0,0.04747505291805262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0.01938610662358643,0,0,0,0,0.8077544426494345,0,0,0,0,0,0,0,0.009693053311793215,0,0,0,0,0,0.035541195476575124,0,0,0,0,0,0.014539579967689823,0,0,0,0.024232633279483037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888529886914378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0.038518933034881554,0,0.05213579556052975,0.053348255922402534,0,0,0,0,0.002518186905428092,0,0,0,0,0,0,0,0,0,0,0,0.02434247341913822,0,0,0.07582540570789031,0,0.01557545234098116,0,0,0.02480880432755083,0,5.595970900951316e-4,0,0,0,0,0,0,0.5059690356276814,0,0.014549524342473419,0,0,0,0.004756575265808618,0.03115090468196232,0.006901697444506622,0.00783435926133184,0,5.595970900951316e-4,0,0,0.046260026114530874,0,0,0.004103711994030965,0,0,0.01790710688304421,0.03721320649132624,0.0027047192687931357,0,0,0,0,0,0,0,0,0.0310576385002798,0.0013989927252378287,0,0,0,13
0,0,0.0018031013342949874,0,0,0,0,0,0,0.7371979805265055,0,0,0,0,0,0,0,0,0,0,0,0,2.7046520014424813e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26072845293905517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0,0,0.005111004631847948,0,0,0,0,0,0,0,0,0,0,0.008305382526752916,0,0,0,0,0,0,0,0,7.985944737262418e-4,0,0,0.014374700527072353,0,0,0.46590001597188946,0,0,0,0,0,0,0.16131608369270084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3441942181760102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9993979530403372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.020469596628537e-4,17
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05132317562149158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056134723336006415,0,0,0,0.8732959101844426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06976744186046512,0,0,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12758245741210583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8724175425878942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,0,0.00779423226812159,0,0,0,0,0.9922057677318784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0,0,0,0.49381443298969074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49690721649484537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009278350515463918,0,0,24
